oaID,OA21CD,GlobalID,lsoaID,lsoa21cd,lsoa21nm,msoaID,msoa21cd,msoa21nm,ladcd,ladnm,households,population,CHR,EYA,EE,EDU,FIN,FR,PHC,POS,RSPF,SER,SCL,totEmp_poiWeight,wpPop,wpPop_scaled2LsoaJob,primaryEdu,secondaryEdu,higherEdu,urbanType,popCentroid_x,popCentroid_y,LSOA11CD,imd10
15,E00024807,9dbb027e-5fc6-41a2-a4e9-250a6b43bbeb,125,E01004891,Bolton 028A,15,E02001011,Bolton 028,E08000001,Bolton,107,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,366639.222,405945.635,E01004891,7
16,E00026855,bb8ad23d-ab73-4fc8-9da1-e67d55399015,503,E01005297,Manchester 028A,16,E02001072,Manchester 028,E08000003,Manchester,113,303,0,0,0,0,0,0,0,2.857037207,0,0,0,0,1,2,0,0,0,1,382799.116,394415.055,E01005297,3
17,E00177726,e202869a-cb09-4fdd-ad47-b9e8c8cb6702,1637,E01033947,Stockport 014E,17,E02001200,Stockport 014,E08000007,Stockport,105,190,0,0,3.08411286,0,0.159639007,9.821488548,0,1.093642,0.959072523,2.569602997,0,16.59391594,103,270,0,0,0,1,389738.258,390139.555,E01005758,1
18,E00025644,f002689f-1856-4003-a216-b731e1dfd10a,305,E01005074,Manchester 051C,18,E02001095,Manchester 051,E08000003,Manchester,130,330,0,0,0,0,0,0,0,0,0,0,0,0,37,40,0,0,0,1,381390.217,387778.471,E01005074,1
19,E00025968,3d1ba0c0-cea5-4bdc-84ad-0dc1c34bde72,355,E01005132,Manchester 061B,19,E02006983,Manchester 061,E08000003,Manchester,100,247,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,385952.579,399010.815,E01005132,1
20,E00030715,660f6f23-3f87-48e2-bc70-5eb180c2e8b5,1238,E01006061,Tameside 003B,20,E02001231,Tameside 003,E08000008,Tameside,119,277,0,33.33484526,0,14.65066339,0,0,0,0.497031674,0,0,0,47.98550865,31,57,186,0,0,1,398171.47,400395.992,E01006061,3
21,E00028136,b2f63551-e5d7-46cb-98ca-59d331d2d30e,756,E01005561,Rochdale 014D,21,E02001145,Rochdale 014,E08000005,Rochdale,115,231,0,0,2.965550715,0,0,0,0,0.840557035,0,0,0,2.965550715,4,7,0,0,0,1,394148.92,411796.875,E01005561,5
22,E00025328,90208342-dae7-42a8-b527-2eda112003b8,235,E01005002,Bury 014D,22,E02001032,Bury 014,E08000002,Bury,131,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,376872.952,408028.168,E01005002,5
23,E00030955,209426ab-87f2-4699-ae23-aa8ad5d506c4,1288,E01006111,Trafford 001C,23,E02001259,Trafford 001,E08000009,Trafford,161,485,0,0,0,34.13425296,0,0,0,0,0,0,0,34.13425296,53,105,330,0,0,1,382506.468,396263.957,E01006111,2
24,E00026510,9d652300-09f1-4d53-b73a-486351bbed24,447,E01005236,Manchester 022D,24,E02001066,Manchester 022,E08000003,Manchester,110,406,0,0,0,0,0,2.855022667,0,0,0.205712874,0,0,3.060735542,6,8,0,0,0,1,386065.601,395497.288,E01005236,1
25,E00029029,9b00cdd6-7626-474c-9162-0fb8315bf329,909,E01005730,Salford 025B,25,E02001181,Salford 025,E08000006,Salford,216,482,0,0,75.19673257,0,0.159639007,4.291957218,0,0,0.642135159,0.765278169,0,81.05574212,243,355,0,0,0,1,375637.577,398179.63,E01005730,4
26,E00027291,ccf167a2-2006-4310-8c93-3b43ce8cdfce,594,E01005391,Oldham 008A,26,E02001105,Oldham 008,E08000004,Oldham,123,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391268.661,407811.584,E01005391,4
27,E00029074,6fea80bf-f5c1-41bc-a47f-a51b70c070b2,918,E01005739,Salford 013G,27,E02001169,Salford 013,E08000006,Salford,128,249,0,63.69822106,0,27.99536605,0,0,0,0,0,0,3.082275302,94.77586241,62,162,330,0,0,1,372071.851,400585.3,E01005739,10
28,E00032059,65e231c4-b904-44a1-8009-dff15f4a2085,1505,E01006329,Wigan 026E,28,E02001312,Wigan 026,E08000010,Wigan,111,238,0,0,0,0,0,0,0,2.699937174,0,0,0,0,0,0,0,0,0,1,363060.168,401980.636,E01006329,2
29,E00026128,23bd6981-b988-45f1-8717-d5458acd53f7,381,E01005165,Manchester 008D,29,E02001052,Manchester 008,E08000003,Manchester,170,438,0,0,0,0,0,1.343282023,29.71644167,0,0.162678931,0,0,31.22240262,45,51,0,0,0,1,383770.344,402399.165,E01005165,1
30,E00025275,4cb94560-8fe5-4bb9-8788-54901db55280,223,E01004990,Bury 016A,30,E02001034,Bury 016,E08000002,Bury,144,330,0,0,2.061510299,0,0.231015513,0,0,0,0,0,0,2.292525813,9,17,0,0,0,1,377007.458,407495.525,E01004990,2
31,E00031313,55052956-2b58-441e-88b8-989f1281cf42,1352,E01006175,Trafford 018C,31,E02001276,Trafford 018,E08000009,Trafford,119,254,0,0,0,0,0,0,0,2.172225427,0,0,3.785330352,3.785330352,20,52,0,0,0,1,380405.853,391111.074,E01006175,2
32,E00030804,007a36ed-dbf5-4fe1-b19a-95ed9a2ff961,1252,E01006075,Trafford 025B,32,E02001283,Trafford 025,E08000009,Trafford,112,321,0,0,0,0,0,0,0,0.985042309,10.21230436,0,0,10.21230436,3,9,0,0,0,1,376099.702,388244.032,E01006075,9
33,E00028345,c749c340-c240-401b-8cec-eb88cb99b76b,797,E01005604,Salford 027B,33,E02001183,Salford 027,E08000006,Salford,136,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,376133.987,397718.302,E01005604,3
34,E00030635,923cddd1-8086-4f53-8141-4cc190a8aecc,1229,E01006052,Tameside 027D,34,E02001255,Tameside 027,E08000008,Tameside,128,317,0,0,0,3.831980108,0,0,0,3.950049082,0,0,0,3.831980108,19,26,330,0,0,1,399059.456,394895.678,E01006052,1
35,E00029346,e05e8317-8f39-4f15-a3cb-768c022c8fa8,969,E01005791,Stockport 039B,35,E02001225,Stockport 039,E08000007,Stockport,114,237,0,0,0,0,0,0,20.93218368,0,0,0,1.779991834,22.71217551,52,85,0,0,0,1,387387.606,385592.578,E01005791,7
36,E00028037,ad619f21-e26a-4175-bab8-2b7dc6ef7529,733,E01005538,Rochdale 023D,36,E02001154,Rochdale 023,E08000005,Rochdale,132,372,0,0,0,0,0.159639007,2.888363436,0,2.751916683,0,0,4.46517122,7.513173663,35,101,0,0,0,1,387956.266,406858.667,E01005538,2
37,E00029671,61a51aff-a0ca-448e-b55f-b2af24a92b47,1038,E01005860,Stockport 011C,37,E02001197,Stockport 011,E08000007,Stockport,140,370,0,0,0,0,0,0,0,2.967589142,17.23795327,0,0,17.23795327,6,14,0,0,0,1,387989.202,391374.906,E01005860,9
38,E00024907,456424cd-90b7-49c0-be0f-4dcf193c752d,152,E01004919,Bolton 012D,38,E02000995,Bolton 012,E08000001,Bolton,117,281,0,0,0,0,0,0,0,7.84137164,0,0,1.446102351,1.446102351,43,76,0,0,0,1,369560.595,410713.29,E01004919,6
39,E00028493,bdfe94f6-2496-4485-a250-485a4bab7670,817,E01005628,Salford 018D,39,E02001174,Salford 018,E08000006,Salford,119,302,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,379978.506,400054.968,E01005628,3
40,E00029895,d3950940-4467-4bfa-9ee3-f872e6b4bdfe,1075,E01005897,Stockport 010A,10,E02001196,Stockport 010,E08000007,Stockport,119,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,395386.923,390729.65,E01005897,3
41,E00024605,18428a74-e00d-467a-bfd1-4caa03e5f42b,95,E01004861,Bolton 033A,40,E02001016,Bolton 033,E08000001,Bolton,158,481,0,0,0,0,0,0,0,0,0,0,0,0,21,31,0,0,0,1,372658.856,405477.622,E01004861,1
42,E00027684,8290cf1e-e7f5-4b8d-9544-75d59586b915,659,E01005464,Rochdale 016A,41,E02001147,Rochdale 016,E08000005,Rochdale,154,428,0,106.7887773,0,46.9336641,0,0,0,2.055544291,0,0,0,153.7224414,67,96,630,0,0,1,389592.111,411202.292,E01005464,1
43,E00030708,e4bee659-7bb0-41ec-ae5f-31975cec31af,1238,E01006061,Tameside 003B,20,E02001231,Tameside 003,E08000008,Tameside,142,323,0,41.40795106,2.798372452,0,0,0,0,3.985597104,0,1.630480528,0,45.83680404,22,41,0,0,0,1,398220.128,400876.738,E01006061,3
44,E00031171,d046fc20-43d5-42fe-8a72-494b80df565b,1328,E01006151,Trafford 016B,42,E02001274,Trafford 016,E08000009,Trafford,112,334,0,0,0,0,0,0,0,0.980475457,0,0,0,0,5,18,0,0,0,1,377772.894,391434.451,E01006151,10
45,E00031667,ea116193-8ae5-4690-8f7b-6b4e4e843fa6,1422,E01006246,Wigan 034A,43,E02001320,Wigan 034,E08000010,Wigan,128,288,0,0,2.503414625,0,0,0,0,1.992584943,0,0,0,2.503414625,7,7,0,0,0,1,368465.115,399572.219,E01006246,3
46,E00027321,7e67e427-21e2-45cf-8c6b-5ab0c0ac21bf,595,E01005392,Oldham 008B,26,E02001105,Oldham 008,E08000004,Oldham,159,323,0,0,0,0,0,0,0,0,0,5.769312647,0,5.769312647,50,58,0,0,0,1,391938.399,407498.016,E01005392,2
47,E00028124,754c0932-2b0b-45ad-ac6a-2d8042c2b6ec,754,E01005559,Rochdale 013B,44,E02001144,Rochdale 013,E08000005,Rochdale,124,275,0,0,0,0,0,8.283516203,0,0,0,0,0,8.283516203,41,48,0,0,0,1,392382.174,412478.965,E01005559,1
48,E00027023,f00f9b69-6d55-499f-a112-983ebfd8e2ba,544,E01005339,Oldham 010C,45,E02001107,Oldham 010,E08000004,Oldham,121,298,0,0,0,0,0,0,0,0.974388326,0,0,0,0,1,3,0,0,0,1,390336.456,406544.193,E01005339,8
49,E00026618,69c2ab83-4b75-4ae0-92ed-9d9ebdd2a96e,468,E01005260,Manchester 011E,46,E02001055,Manchester 011,E08000003,Manchester,111,272,0,0,0,0,0,0,0,2.670062978,0,0,0,0,29,39,0,0,0,1,389069.486,399886.937,E01005260,2
50,E00032428,3b02a102-ea34-4e2c-8aa2-8a284c83e7e2,1572,E01006396,Wigan 011B,47,E02001297,Wigan 011,E08000010,Wigan,154,349,0,0,0,0,0,0,0,0.835652348,0,0,0,0,7,12,0,0,0,1,354511.533,406038.463,E01006396,7
51,E00028816,3f13e1f3-9519-4937-87ca-b72205870388,868,E01005687,Salford 009A,48,E02001165,Salford 009,E08000006,Salford,195,495,16.7341385,0,0,0,0,0,0,3.806248686,14.05129781,0,0,30.78543631,14,34,0,0,0,1,376762.218,401507.235,E01005687,4
52,E00027496,44123b9f-7d3d-43bd-9a09-a0954735f9e7,627,E01005430,Oldham 022E,49,E02001119,Oldham 022,E08000004,Oldham,123,480,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,394129.615,404525.503,E01005430,1
53,E00029553,79183420-19e1-4601-8381-3ee5a42ffb12,1014,E01005836,Stockport 031B,50,E02001217,Stockport 031,E08000007,Stockport,146,269,0,0,0,0,0.159639007,2.823436676,0,3.062314594,0,0,0,2.983075683,14,26,0,0,0,1,392623.399,387457.017,E01005836,6
54,E00031289,1ec744f7-e198-4409-8efd-31837cd4e8f1,1354,E01006177,Trafford 018E,31,E02001276,Trafford 018,E08000009,Trafford,128,358,0,0,0,0,0,0,0,1.866975247,7.025648905,0,0,7.025648905,0,0,0,0,0,1,380196.652,390712.837,E01006177,3
55,E00025335,01c65a06-01a5-4329-a0b6-979afbe35e71,238,E01005005,Bury 012C,4,E02001030,Bury 012,E08000002,Bury,120,284,0,0,1.05414996,0,0.907003898,0,0,3.660794735,0,0,1.927551298,3.888705156,31,56,0,0,0,1,376401.627,410262.422,E01005005,7
56,E00176035,9587526e-9171-4402-bda0-8b549a45107b,1611,E01033660,Manchester 059B,51,E02006916,Manchester 059,E08000003,Manchester,105,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382638,397381,E01033660,5
57,E00031661,536891ab-960c-4903-a23d-68aa9f82c7c9,1423,E01006247,Wigan 034B,43,E02001320,Wigan 034,E08000010,Wigan,145,315,0,0,0,0,0,0,0,0.893407614,0,0,0,0,9,12,0,0,0,1,366933.902,398753.424,E01006247,5
58,E00031954,d6bac2e5-ab27-44e5-bfac-ab1f2b05fe7e,1487,E01006311,Wigan 012E,52,E02001298,Wigan 012,E08000010,Wigan,129,305,0,0,2.139242867,0,0,0,0,0,0,0,0,2.139242867,0,0,0,0,0,1,360520.775,405779.098,E01006311,2
59,E00026585,fe1b003d-cca7-40de-99c1-7cd5fc1269cb,459,E01005251,Manchester 003D,53,E02001047,Manchester 003,E08000003,Manchester,121,314,0,0,1.711271469,0,0,4.109688437,6.699185708,1.170219673,6.331152827,1.310202539,6.794002581,26.95550356,102,201,0,0,0,1,388923.407,402815.535,E01005251,1
60,E00029406,5543355a-708c-49de-9624-3251631d40c2,989,E01005811,Stockport 037D,54,E02001223,Stockport 037,E08000007,Stockport,123,234,0,0,0,0,0,0,0,0.722211093,0,0,0,0,1,7,0,0,0,1,390198.493,386910.469,E01005811,10
61,E00175964,9e670bf3-e922-48a4-82a6-881177fa33e0,1606,E01033653,Manchester 055B,55,E02006912,Manchester 055,E08000003,Manchester,84,150,0,0,5.276065872,0,0,0,0,0,0,0,0,5.276065872,107,515,0,0,0,1,384495,398149,E01033653,3
62,E00027209,56d984e6-7f22-4abe-a78e-25a64857645f,580,E01005375,Oldham 034D,56,E02001131,Oldham 034,E08000004,Oldham,129,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,389865.507,400064.572,E01005375,7
63,E00030357,f5fdf4c8-a886-460f-a4f5-36c638dc4050,1175,E01005998,Tameside 012A,57,E02001240,Tameside 012,E08000008,Tameside,156,383,0,0,1.103423847,0,0.159639007,2.246114944,0,0,1.526908061,0,2.948819938,7.984905796,62,64,0,0,0,1,389137.291,398165.448,E01005998,3
64,E00032163,44801e16-6c55-44bf-8754-dd6e12d68a85,1522,E01006346,Wigan 038E,58,E02001324,Wigan 038,E08000010,Wigan,227,420,0,0,1.21405378,0,0.272506735,8.26197281,0,1.904030491,1.140169273,7.700615448,0.399817676,18.98913572,186,552,0,0,0,1,360373.124,397805.152,E01006346,5
65,E00181693,8c9e2220-ec9e-4e9c-9f6b-91e7a40eefb6,1661,E01033996,Salford 037B,59,E02006963,Salford 037,E08000006,Salford,240,396,0,0,18.80219619,0,0,77.13474578,377.5231203,0,4.068779642,0,0,477.5288419,789,2307,0,0,0,1,380075.433,397382.543,E01032685,10
66,E00029546,254323e6-adc2-494b-9694-b88eefa8555f,1015,E01005837,Stockport 021D,60,E02001207,Stockport 021,E08000007,Stockport,148,333,0,0,0,0,0,0,0,1.403077115,0,0,0,0,2,5,0,0,0,1,393106.983,387902.308,E01005837,8
67,E00029179,194030ad-9631-451a-9ce9-d1b6aa1ce67d,943,E01005765,Stockport 018A,61,E02001204,Stockport 018,E08000007,Stockport,138,316,0,0,0,34.21393026,0,0,5.851037539,32.06908656,7.025648905,0,0,47.0906167,62,102,420,0,0,1,388389.609,389138.007,E01005765,7
68,E00025238,e18a64d0-e6dd-4796-8f04-1b6168cfdb1c,221,E01004988,Bury 020D,62,E02001038,Bury 020,E08000002,Bury,147,304,0,0,0,0,0,0,0,15.94494686,2.638071016,47.54172055,0.389847866,50.56963943,265,381,0,0,0,1,380871.015,406239.827,E01004988,5
69,E00025485,63ba4688-a28e-4fa6-93eb-5e10e16011a8,270,E01005037,Bury 024D,63,E02001042,Bury 024,E08000002,Bury,125,309,0,0,0,0,0,2.721659592,16.87399514,0,0.607575525,0,0,20.20323026,26,64,0,0,0,1,381021.184,403064.193,E01005037,6
70,E00027888,aa48ae87-698b-4787-b71c-96dda50e8223,704,E01005509,Rochdale 018F,64,E02001149,Rochdale 018,E08000005,Rochdale,116,245,0,0,0.088541702,0,0,0,0,0,0,0,0,0.088541702,8,15,0,0,0,1,384902.458,410616.786,E01005509,1
71,E00181474,55bf8523-af37-4699-841a-a13c83d06c33,1432,E01006256,Wigan 005D,65,E02001291,Wigan 005,E08000010,Wigan,182,425,0,0,0,0,0.159639007,3.577990915,0,0,0,0.688278727,0,4.425908649,78,116,0,0,0,1,356485.073,406575.264,E01006256,5
72,E00027600,16353086-ab2e-4f65-94c4-0b1dcd1b8347,653,E01005456,Oldham 012E,66,E02001109,Oldham 012,E08000004,Oldham,127,235,0,0,0,0,0,0,6.312503298,0,0,0,0,6.312503298,7,7,0,0,0,1,394417.299,406056.502,E01005456,1
73,E00031898,ecbbfb63-e704-462e-b91a-3c6b5c0c53b2,1469,E01006293,Wigan 022D,67,E02001308,Wigan 022,E08000010,Wigan,184,326,0,0,0,0,0,0,0,4.860669822,13.21506889,0,0,13.21506889,145,267,0,0,0,1,368664.499,402138.686,E01006293,3
74,E00172934,e13c2076-3124-48a4-ae36-b2259639c156,1596,E01032914,Salford 035A,68,E02006961,Salford 035,E08000006,Salford,137,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,380605.152,398276.046,E01032914,4
75,E00030025,d264966e-3cd0-4df9-b75d-a7d029ee765c,1108,E01005930,Stockport 032D,69,E02001218,Stockport 032,E08000007,Stockport,111,258,0,0,0,0,0,0,0,1.976057635,0,0,0,0,49,151,0,0,0,1,388678.261,385234.207,E01005930,10
76,E00026564,0b9e3970-796f-44db-9864-de7b24d8861b,453,E01005245,Manchester 024C,70,E02001068,Manchester 024,E08000003,Manchester,140,388,0,0,0,0,0.159639007,0.571180011,0,2.355396764,5.893914173,0,18.33101583,24.95574902,41,91,0,0,0,1,384230.978,395580.429,E01005245,1
77,E00025226,f8807b62-2c31-4b99-85d1-4a3ac12de458,217,E01004984,Bury 019A,71,E02001037,Bury 019,E08000002,Bury,109,235,0,0,0,0,0,0,0,0,0,0,0,0,6,38,0,0,0,1,379797.381,404852.68,E01004984,8
78,E00027616,909b92b7-bbf1-4fb4-adcc-562bdac49cce,647,E01005450,Oldham 019C,72,E02001116,Oldham 019,E08000004,Oldham,129,504,0,0,0,23.89820993,0,0,0,1.615152682,0,0,0,23.89820993,57,57,420,0,0,1,394418.638,405069.288,E01005450,2
79,E00031468,ea4250bd-5dfc-4af4-8a60-da4c4f4aad56,1385,E01006209,Trafford 023E,73,E02001281,Trafford 023,E08000009,Trafford,143,413,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,1,378463.389,387990.729,E01006209,10
80,E00027109,39230167-04ab-4743-9164-c3f680c1f346,555,E01005350,Oldham 014B,74,E02001111,Oldham 014,E08000004,Oldham,106,217,0,0,0,0,0.159639007,0.92915458,0,0,0,0,4.257231858,5.346025446,46,58,0,0,0,1,392598.506,405734.299,E01005350,1
81,E00028108,806460e6-01ca-4bce-af6b-313a0f091c57,746,E01005551,Rochdale 022C,75,E02001153,Rochdale 022,E08000005,Rochdale,117,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,385925.9,407072.167,E01005551,1
82,E00028573,57f9ad15-63e1-405d-8291-837898a48c74,829,E01005640,Salford 029B,76,E02001185,Salford 029,E08000006,Salford,116,335,0,0,0,0,0,0,0,0.907486094,0,0,0,0,0,0,0,0,0,1,373122.97,395567.741,E01005640,2
83,E00028485,c91a2148-7671-4b9e-8072-2371aa4cd327,814,E01005625,Salford 015A,12,E02001171,Salford 015,E08000006,Salford,116,283,0,0,0,0,0,0,0,0,0,0,0,0,6,38,0,0,0,1,378785.498,400327.974,E01005625,6
84,E00030459,4de1583c-e22e-476e-8183-73f71cc4e9ed,1185,E01006008,Tameside 017A,77,E02001245,Tameside 017,E08000008,Tameside,121,248,0,10.20327266,4.185487757,0,0,0,0,0,4.635205267,0,0,19.02396568,166,326,0,0,0,1,394231.624,396601.487,E01006008,5
85,E00030461,6cdb6afe-733c-4db0-a2f7-906b9375065c,1188,E01006011,Tameside 018A,78,E02001246,Tameside 018,E08000008,Tameside,106,227,0,0,0,0,0,0,0,0.980687466,7.025648905,0,0,7.025648905,30,55,0,0,0,1,394688.663,397077.764,E01006011,1
86,E00027555,cef4e8d7-a26f-41c0-b8c6-c3ff356c6692,639,E01005442,Oldham 002B,79,E02001099,Oldham 002,E08000004,Oldham,128,294,0,0,0,0,0,0,0,1.61360354,0,0,1.329360856,1.329360856,3,4,0,0,0,1,394606.306,410081.944,E01005442,8
87,E00030837,b5fc1b06-73d7-4131-82cb-d581c4b9931c,1260,E01006083,Trafford 026A,80,E02001284,Trafford 026,E08000009,Trafford,105,323,0,0,0,0,0,0,0,0.977489619,3.604228476,0,0,3.604228476,5,22,0,0,0,1,378120.098,386673.615,E01006083,10
88,E00181700,269b9ccd-93cc-40e0-8714-33cc6f0e3254,802,E01005613,Salford 031A,81,E02006957,Salford 031,E08000006,Salford,151,549,0,0,0,0,0.319278014,9.003559923,4.849743913,11.24671811,4.672812273,0,0,18.84539412,101,108,0,0,0,1,383378.789,401120.682,E01005613,1
89,E00024657,35a9c424-f1f5-4945-b360-3355d39e57c8,100,E01004866,Bolton 011E,82,E02000994,Bolton 011,E08000001,Bolton,117,253,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,1,370573.045,409894.836,E01004866,1
90,E00031053,f667572c-671b-4719-8f7d-4ef998399e9e,1310,E01006133,Trafford 010C,83,E02001268,Trafford 010,E08000009,Trafford,124,310,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,375786.151,393705.662,E01006133,8
91,E00180921,fc42ed1b-e2d5-4d77-b24c-18b4e100a1b1,1686,E01034126,Manchester 025H,84,E02001069,Manchester 025,E08000003,Manchester,177,610,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,384510.684,394990.87,E01005241,3
92,E00026482,df899c4f-fac8-4e38-ad13-3e61dec076b9,440,E01005229,Manchester 007E,85,E02001051,Manchester 007,E08000003,Manchester,129,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,387148.083,402312.662,E01005229,5
93,E00024712,aa9023b7-fc40-4ef8-8173-7a979bb28f78,121,E01004887,Bolton 014D,86,E02000997,Bolton 014,E08000001,Bolton,111,289,0,0,0,0,0,0,0,3.292851497,0,0,0,0,1,2,0,0,0,1,365198.872,410570.816,E01004887,2
94,E00030083,38b211a2-e8a9-4037-9962-fe8a95d1dcab,1112,E01005934,Tameside 006B,87,E02001234,Tameside 006,E08000008,Tameside,133,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,394092.638,400216.095,E01005934,3
95,E00030684,6ae9a719-aee3-43da-bf64-4cc0f1e4861c,1236,E01006059,Tameside 001F,88,E02001229,Tameside 001,E08000008,Tameside,140,319,0,0,0,0,0,0,0,0.716823334,0,0,7.162745422,7.162745422,59,142,0,0,0,1,397791.753,402039.001,E01006059,7
96,E00031931,b4677d5a-b749-4922-82a6-b5d92431f904,1476,E01006300,Wigan 037D,89,E02001323,Wigan 037,E08000010,Wigan,99,237,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,365713.656,398950.624,E01006300,10
97,E00031325,505d034f-114c-4993-b958-21e3bfd7fb8d,1359,E01006182,Trafford 006D,90,E02001264,Trafford 006,E08000009,Trafford,117,349,0,0,0,72.8300313,0.159639007,5.083589838,0,5.767742854,0,0,0,78.07326015,54,82,735,0,0,1,378752.388,394844.289,E01006182,7
